P_num,Group,Handedness,EHI Score,Age,Gender,Normal_Hearing,PP,ImpIdent,Primary_Instrument,PianoYears,YearsClassStudy,YearsImprovStudy,ImpHours_under_11,ClassHours_under_11,ImpHours_11_to_17,ClassHours_11_to_17,ImpHours_18_older,ClassHours_18_older
17,Cl,R,66.66666667,26,M,Y,N,3,Piano,21,21,0,0,10,0,14,0,28
18,Cl,R,50,26,M,Y,N,1,Bassoon,0,7,0,0,0,0,10,0,20
19,Cl,R,100,42,F,Y,N,1,Clarinet,0,31,0,0,0,0,15,0,20
20,Cl,R,100,24,F,Y,N,2,Flute,0,14,2,0,5,0.5,8,0.5,17
21,Imp,L,-100,27,M,Y,N,4,French Horn,0,17,3,0,5,2,8,5,10
22,Imp,R,70,20,M,Y,N,6,Piano,10,10,6,0,4,4,8,5,1
23,Imp,R,66.66666667,25,M,Y,N,7,Guitar,0,3,3,0,0,10,10,5,5
24,Cl,R,73.33333333,18,F,Y,N,1,Flute,0,9,0,0,6,0,20,0,10
25,Imp,R,50,20,M,Y,N,6,Piano,14,14,5,1,3,7,7,10,4
26,Cl,R,70,22,F,Y,N,2,Piano,8,8,0,0,14,2,29.5,0.33,2.67
27,Cl,R,72.72727273,25,F,Y,N,1,Bassoon,0,18,0,0,5.5,0,9,0,25
28,Imp,R,100,18,M,Y,N,6,Piano,11,10,6,0,4,6,1,5,0
29,Imp,L,100,25,M,Y,N,5,Saxophone,0,11,6,0,0,1,4,4,32
30,Imp,A,26.31578947,19,M,Y,N,7,Violin,2,9,4,0,0,2,4,5,15
31,Cl,R,70,23,F,Y,Y,2,Piano,10,10,0,0,2,0,5,0,6
32,Imp,R,60,18,M,Y,N,7,Trumpet,7,11,10,1,6,4,21,7,23
33,Cl,R,89.47368421,27,F,Y,Y,1,Piano,14,14,0,0,14,0,30,0,10
34,Imp,R,100,35,F,Y,N,7,Violin,10,30,17.5,2,18,5,15,12,13
35,Imp,R,100,23,M,Y,N,5,Trumpet,10,12,5,0,7,14,14,0,35
36,Imp,L,-40,18,M,Y,N,7,Tenor Sax,2,8,8,5,1,13,2,18,2
37,Imp,R,60,23,M,Y,N,5,Violin,0,17,10,3,12,1,9,3,7
38,Cl,A,6,24,F,Y,Y,1,Cello,2,20,0,0,10,0,18,0,35
39,Cl,R,70,27,F,Y,N,4,Violin,0,23,0,1,6,1.5,16,2.5,12.5
40,Cl,R,50,33,F,Y,N,2,Piano,16,16,0,0,4,0,5,0,21
41,Imp,R,87.5,18,M,Y,N,7,Piano,11,11,2,0,2,15,-5,11,10
42,Imp,R,70,19,M,Y,N,6,Tenor Sax,0,7,9,1,3,3,5,8,4
43,Cl,L,-40,25,F,Y,N,1,Piano,20,20,0,0,7,0,35,0,42
44,Imp,R,76.47058824,21,M,Y,N,7,Trumpet,2,15,8,0,7,5,5,14,7
45,Cl,R,90,23,M,Y,N,2,Guitar,0,6,0,0,0,1,9,0,20
46,Imp,A,33,34,F,Y,Y,7,Double Bass,5,8,8,0,21,21,14,14,35
47,Imp,R,90,32,F,Y,Y,6,Piano,29,29,10,0,5,0,20,20,0
48,Imp,A,37.5,26,M,Y,N,7,Drums (bass too),3,19,16,3,11,16,32,12,38
49,Cl,R,60,33,F,Y ,Y,1,Violin,4,26,0,0,14,0,21,0,28
50,Imp,A,-40,32,M,Y,Y,7,Guitar,0,5,2,0,0,20,8,30,2
51,Imp,R,100,32,F,Y,N,7,Voice/piano,15,15,3,0,3,2,3,3,4
52,Cl,R,70,24,M,Y,Y,4,Piano,20,20,0,0,2,0,5,0,5.5
53,Imp,R,70,23,M,Y,N,6,Saxophone,7,7,5,5,3.5,16,1.5,18,2
54,Imp,R,89.5,26,M,Y,N,7,Saxophone,3,4,4,0,4,10,4,18,2
55,Imp,R,100,28,M,Y,N,4,Piano,20,20,4,0,5,1,19,2,28
56,Imp,R,60,27,M,Y,N,7,Trumpet,9,9,9,0,0,18,18,28,0
